VendorId,PUTime,DOTime,PassengerCount,TripDistance,RateCode,PULocationID,DOLocationID,PaymentType,FareAmount,TripTime
1,1/1/2017 12:34:33 PM,1/1/2017 1:05:08 PM,1,11,1,138,239,1,33.5,1835
2,1/1/2017 12:34:33 PM,1/1/2017 12:45:33 PM,6,1.69,1,100,107,2,9,660
2,1/1/2017 12:34:34 PM,1/1/2017 12:42:32 PM,2,2.37,1,234,163,1,9,478
2,1/1/2017 12:34:35 PM,1/2/2017 12:14:18 PM,1,0.71,1,262,140,1,5,85183
2,1/1/2017 12:34:36 PM,1/1/2017 12:36:29 PM,1,0.53,1,113,144,2,4,113
2,1/1/2017 12:34:36 PM,1/1/2017 12:42:43 PM,5,2.09,1,143,237,2,9,487
2,1/1/2017 12:34:36 PM,1/1/2017 12:54:30 PM,1,5.93,1,188,4,2,20.5,1194
2,1/1/2017 12:34:36 PM,1/1/2017 12:42:47 PM,2,1.91,1,75,237,1,9,491
1,1/1/2017 12:34:37 PM,1/1/2017 12:38:48 PM,2,1.3,1,239,142,1,6,251
2,1/1/2017 12:34:37 PM,1/1/2017 12:41:15 PM,1,1.52,1,151,239,1,7.5,398
2,1/1/2017 12:34:37 PM,1/1/2017 12:37:38 PM,1,0.69,1,97,25,1,4.5,181
2,1/1/2017 12:34:38 PM,1/1/2017 12:41:38 PM,2,1.19,1,231,144,1,6.5,420
2,1/1/2017 12:34:38 PM,1/1/2017 12:38:37 PM,2,0.9,1,48,68,1,5,239
2,1/1/2017 12:34:38 PM,1/1/2017 12:40:14 PM,1,1.48,1,143,246,2,7,336
2,1/1/2017 12:34:38 PM,1/1/2017 12:39:18 PM,1,0.83,1,246,100,1,5.5,280
